subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0041047	mesh:D001748	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005694	umls_ingest	2023-09-06
hp:HP:0009725	mesh:D001749	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005695	umls_ingest	2023-09-06
hp:HP:0000011	mesh:D001750	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005697	umls_ingest	2023-09-06
hp:HP:0000498	mesh:D001762	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005741	umls_ingest	2023-09-06
hp:HP:0000581	mesh:D016569	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005744	umls_ingest	2023-09-06
hp:HP:0000508	mesh:D001763	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005745	umls_ingest	2023-09-06
hp:HP:0000643	mesh:D001764	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005747	umls_ingest	2023-09-06
hp:HP:0001928	mesh:D001778	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005779	umls_ingest	2023-09-06
hp:HP:0003256	mesh:D001778	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005779	umls_ingest	2023-09-06
hp:HP:0032223	mesh:D001789	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005810	umls_ingest	2023-09-06
hp:HP:0001041	mesh:D001821	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005874	umls_ingest	2023-09-06
hp:HP:0004370	mesh:D001832	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005904	umls_ingest	2023-09-06
hp:HP:0012062	mesh:D001845	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005937	umls_ingest	2023-09-06
hp:HP:0005561	mesh:D001855	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005956	umls_ingest	2023-09-06
hp:HP:0010622	mesh:D001859	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005967	umls_ingest	2023-09-06
hp:HP:0012076	mesh:D001883	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006012	umls_ingest	2023-09-06
hp:HP:0030049	mesh:D001922	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006105	umls_ingest	2023-09-06
hp:HP:0002181	mesh:D001929	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006114	umls_ingest	2023-09-06
hp:HP:0030692	mesh:D001932	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006118	umls_ingest	2023-09-06
hp:HP:0020161	mesh:D015356	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006123	umls_ingest	2023-09-06
hp:HP:0009796	mesh:D001935	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006131	umls_ingest	2023-09-06
hp:HP:0001623	mesh:D001946	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006157	umls_ingest	2023-09-06
hp:HP:0030077	mesh:D001984	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006264	umls_ingest	2023-09-06
hp:HP:0025428	mesh:D001986	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006266	umls_ingest	2023-09-06
hp:HP:0002110	mesh:D001987	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006267	umls_ingest	2023-09-06
hp:HP:0011950	mesh:D001988	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006271	umls_ingest	2023-09-06
hp:HP:0011946	mesh:D001989	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006272	umls_ingest	2023-09-06
hp:HP:0012387	mesh:D001991	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006277	umls_ingest	2023-09-06
hp:HP:0100730	mesh:D001994	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006281	umls_ingest	2023-09-06
hp:HP:0010960	mesh:D001998	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006288	umls_ingest	2023-09-06
hp:HP:0100632	mesh:D001998	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006288	umls_ingest	2023-09-06
hp:HP:0003763	mesh:D002012	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006325	umls_ingest	2023-09-06
hp:HP:0100739	mesh:D002032	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006370	umls_ingest	2023-09-06
hp:HP:0011710	mesh:D002037	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006384	umls_ingest	2023-09-06
hp:HP:0001822	mesh:D000071378	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006386	umls_ingest	2023-09-06
hp:HP:0030080	mesh:D002051	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006413	umls_ingest	2023-09-06
hp:HP:0025232	mesh:D002062	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006444	umls_ingest	2023-09-06
hp:HP:0004326	mesh:D002100	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006625	umls_ingest	2023-09-06
hp:HP:0003761	mesh:D002114	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006663	umls_ingest	2023-09-06
hp:HP:0025520	mesh:D000092182	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006664	umls_ingest	2023-09-06
hp:HP:0002664	mesh:D009369	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006826	umls_ingest	2023-09-06
hp:HP:0002728	mesh:D002178	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0006845	umls_ingest	2023-09-06
